temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
34.98,clear-night,0.63,10.0,Clear,27.95,1016.8,8.95,,1451624400,275.0,0.0,23.79,0.0
34.82,partly-cloudy-night,0.64,9.88,Mostly Cloudy,27.36,1016.23,9.71,0.92,1451628000,273.0,0.0,23.76,0.0
34.07,clear-night,0.65,10.0,Clear,27.58,1016.02,7.65,,1451631600,273.0,0.0,23.6,0.0
34.02,clear-night,0.67,9.93,Clear,28.55,1015.99,6.12,,1451635200,272.0,0.0,24.19,0.0
34.0,partly-cloudy-night,0.68,10.0,Mostly Cloudy,27.42,1015.58,7.78,0.75,1451638800,260.0,0.0,24.48,0.0
33.92,clear-night,0.68,10.0,Clear,28.43,1015.41,6.11,,1451642400,269.0,0.0,24.55,0.0
33.99,clear-night,0.68,10.0,Clear,27.9,1015.39,7.0,,1451646000,257.0,0.0,24.45,0.0
33.85,partly-cloudy-night,0.68,10.0,Mostly Cloudy,27.41,1015.57,7.5,0.92,1451649600,269.0,0.0,24.42,0.0
33.89,clear-day,0.68,10.0,Clear,27.96,1015.29,6.73,,1451653200,260.0,0.0,24.4,0.0
34.25,partly-cloudy-day,0.67,10.0,Partly Cloudy,28.85,1015.36,6.08,0.31,1451656800,275.0,0.0,24.36,0.0
34.64,cloudy,0.65,10.0,Overcast,29.71,1015.37,5.57,1.0,1451660400,244.0,0.0,24.28,0.0
35.29,clear-day,0.64,10.0,Clear,29.8,1014.98,6.49,,1451664000,260.0,0.0,24.44,0.0
35.32,clear-day,0.63,10.0,Clear,30.01,1014.07,6.24,,1451667600,275.0,0.0,24.14,0.0
34.81,cloudy,0.66,10.0,Overcast,34.81,1012.92,2.65,1.0,1451671200,273.0,0.0,24.64,0.0
34.72,clear-day,0.68,9.59,Clear,29.36,1012.32,6.16,0.0,1451674800,277.0,0.0,25.39,0.0
34.45,clear-day,0.69,4.9,Clear,28.48,1012.1,6.95,,1451678400,283.0,0.0,25.36,0.0
33.19,partly-cloudy-day,0.71,9.88,Mostly Cloudy,24.59,1012.25,11.29,0.75,1451682000,270.0,0.0024,24.68,0.07
32.51,partly-cloudy-night,0.72,6.36,Partly Cloudy,23.94,1012.55,10.84,0.31,1451685600,270.0,0.0,24.66,0.0
31.08,partly-cloudy-night,0.71,6.16,Partly Cloudy,22.95,1013.12,9.32,0.31,1451689200,267.0,0.0,22.79,0.0
30.68,partly-cloudy-night,0.67,9.57,Partly Cloudy,21.54,1013.54,11.11,0.55,1451692800,285.0,0.0,20.91,0.0
30.46,partly-cloudy-night,0.64,9.97,Partly Cloudy,22.93,1013.7,8.06,0.31,1451696400,266.0,0.0,19.68,0.0
30.02,partly-cloudy-night,0.58,9.88,Partly Cloudy,20.45,1013.7,11.66,0.26,1451700000,270.0,0.0,17.24,0.0
29.92,partly-cloudy-night,0.57,10.0,Partly Cloudy,20.73,1013.67,10.82,0.36,1451703600,268.0,0.0,16.75,0.0
29.76,clear-night,0.58,10.0,Clear,19.62,1013.68,12.78,0.2,1451707200,264.0,0.0,16.98,0.0
29.07,clear-night,0.61,10.0,Clear,18.99,1013.89,12.25,0.23,1451710800,279.0,0.0,17.5,0.0
28.87,partly-cloudy-night,0.64,10.0,Partly Cloudy,19.02,1013.88,11.64,0.37,1451714400,266.0,0.0,18.12,0.0
28.74,clear-night,0.66,10.0,Clear,17.98,1014.0,13.6,0.2,1451718000,269.0,0.0,18.87,0.0
28.82,clear-night,0.66,9.87,Clear,17.87,1014.03,14.11,,1451721600,261.0,0.0,19.01,0.0
28.86,cloudy,0.68,10.0,Overcast,18.95,1013.96,11.76,1.0,1451725200,261.0,0.0,19.59,0.0
28.71,partly-cloudy-night,0.67,10.0,Partly Cloudy,17.98,1014.1,13.49,0.31,1451728800,258.0,0.0,19.08,0.0
28.25,partly-cloudy-night,0.66,9.94,Partly Cloudy,18.66,1014.48,10.77,0.31,1451732400,265.0,0.0,18.31,0.0
28.2,partly-cloudy-night,0.64,10.0,Mostly Cloudy,17.51,1014.86,13.1,0.74,1451736000,266.0,0.0,17.57,0.0
28.16,partly-cloudy-day,0.62,10.0,Partly Cloudy,17.88,1015.31,12.17,0.31,1451739600,265.0,0.0,16.88,0.0
29.87,clear-day,0.58,10.0,Clear,20.06,1015.74,12.09,0.11,1451743200,265.0,0.0,16.72,0.0
30.44,partly-cloudy-day,0.58,9.94,Partly Cloudy,20.97,1016.04,11.67,0.39,1451746800,258.0,0.0,17.4,0.0
31.47,partly-cloudy-day,0.55,10.0,Partly Cloudy,22.12,1015.66,12.01,0.31,1451750400,272.0,0.0,17.31,0.0
32.52,partly-cloudy-day,0.52,10.0,Partly Cloudy,24.26,1014.84,10.22,0.26,1451754000,277.0,0.0,16.78,0.0
32.51,partly-cloudy-day,0.52,10.0,Partly Cloudy,22.66,1014.4,13.87,0.51,1451757600,253.0,0.0,16.78,0.0
32.66,partly-cloudy-day,0.55,10.0,Partly Cloudy,25.04,1013.75,9.07,0.31,1451761200,275.0,0.0,18.34,0.0
32.44,partly-cloudy-day,0.57,10.0,Partly Cloudy,23.63,1013.65,11.36,0.31,1451764800,268.0,0.0,18.92,0.0
32.39,partly-cloudy-day,0.59,10.0,Mostly Cloudy,24.77,1013.68,8.94,0.6,1451768400,270.0,0.0,19.87,0.0
32.17,clear-night,0.6,10.0,Clear,26.08,1013.55,6.47,,1451772000,252.0,0.0,20.01,0.0
32.23,clear-night,0.6,10.0,Clear,24.84,1013.55,8.48,,1451775600,250.0,0.0,19.94,0.0
32.33,cloudy,0.59,10.0,Overcast,23.87,1013.59,10.53,1.0,1451779200,259.0,0.0,19.43,0.0
32.3,clear-night,0.6,10.0,Clear,25.55,1013.49,7.47,,1451782800,263.0,0.0,20.09,0.0
32.21,clear-night,0.59,10.0,Clear,24.76,1013.27,8.58,,1451786400,251.0,0.0,19.39,0.0
